"No","タイトル","巻号","章見出し","節見出し","項見出し","開始ページ","参照PDF URL","備考"
"新刊","那珂市史","地誌編","","","発刊にあたって","1","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","","","凡例","3","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅰ 通史概説","","","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に開始ページの記載なし"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","１ 原始・古代","","15","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅰ 通史概説","１ 原始・古代","＜旧石器時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは15）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","１ 原始・古代","＜縄文時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは15）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","１ 原始・古代","＜弥生時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは15）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","１ 原始・古代","＜古墳時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは15）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","１ 原始・古代","＜奈良～平安時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは15）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","２ 中世","","19","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅰ 通史概説","２ 中世","＜院政期＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは19）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","２ 中世","＜鎌倉時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは19）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","２ 中世","＜南北朝期＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは19）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","２ 中世","＜室町時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは19）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","２ 中世","＜戦国期＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは19）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","２ 中世","＜織豊政権期＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは19）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","","21","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜幕藩体制の形成＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜水戸藩の成立＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜農村荒廃と殖産興業＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜対外関係の緊張＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜幕末水戸改革＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜尊攘運動の激化＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜一会桑政権と政治情勢の激化＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","３ 近世","＜徳川慶喜政権と薩長勢力の抗争＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは21）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","","24","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","＜明治期＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","大区小区制と壬申戸籍","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
